Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.44
moral,0.81,0.77,0.45,0.08
verw,0.88,0.76,0.44,0.01
sparkont,0.88,0.87,0.59,0.22
beszeit,0.95,0.94,0.79,0.22
rate,0.91,0.91,0.72,0.29
famges,0.91,0.9,0.7,0.28
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.93,0.92,0.76,0.31
verm,1.0,1.0,0.98,0.73
weitkred,0.54,0.6,0.28,0.09
wohn,0.9,0.91,0.75,0.35
bishkred,0.67,0.61,0.34,0.03
beruf,0.74,0.71,0.41,0.02
pers,0.6,0.69,0.43,0.22
telef,0.96,0.97,0.92,0.66
gastarb,0.71,0.78,0.55,0.3
kredit,0.86,0.9,0.75,0.45
