Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.77,0.72,0.39,0.07
verw,0.89,0.79,0.46,0.03
sparkont,0.98,0.98,0.92,0.54
beszeit,0.94,0.92,0.75,0.16
rate,0.93,0.93,0.78,0.31
famges,0.98,0.98,0.93,0.55
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,1.0,1.0,1.0,0.9
weitkred,0.5,0.55,0.25,0.06
wohn,0.99,0.99,0.96,0.66
bishkred,0.65,0.58,0.32,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.49,0.59,0.32,0.17
telef,0.94,0.96,0.89,0.61
gastarb,0.96,0.97,0.93,0.67
kredit,0.88,0.91,0.79,0.49
