value,frequency,column
Male,0.5569286871961102,sex
Female,0.4430713128038898,sex
25 - 45,0.3739870340356564,age_cat
Greater than 45,0.3140194489465154,age_cat
Less than 25,0.3119935170178282,age_cat
African-American,0.20826580226904376,race
Caucasian,0.1778768233387358,race
Hispanic,0.168354943273906,race
Native American,0.15336304700162073,race
Asian,0.1476904376012966,race
Other,0.14444894651539708,race
F,0.6395867098865479,c_charge_degree
M,0.3604132901134522,c_charge_degree
0,0.5113452188006483,is_recid
1,0.4886547811993517,is_recid
Low,0.5449756888168558,score_text
Medium,0.2653970826580227,score_text
High,0.18962722852512157,score_text
0,0.5423419773095624,two_year_recid
1,0.4576580226904376,two_year_recid
