47, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, Ireland, <=50K
50, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,3396,0,40, El-Salvador, <=50K
68, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,2000,8, United-States, >50K
25, Private, 5th-6th, Never-married, Other-service, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,54, Ecuador, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, Dominican-Republic, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, Scotland, <=50K
66, Self-emp-not-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,16064,0,40, Thailand, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
19, Private, Assoc-voc, Never-married, Sales, Other-relative, White, Male,0,0,30, Nicaragua, >50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Cambodia, >50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, Dominican-Republic, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Wife, White, Female,0,0,45, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
36, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
38, Private, Doctorate, Never-married, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ecuador, <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, Japan, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, El-Salvador, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,8454,0,40, Ecuador, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,2033,0,40, Germany, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,2028,40, Canada, <=50K
56, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
53, State-gov, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Black, Male,0,0,20, El-Salvador, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,65, Guatemala, <=50K
41, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,2688,0,40, Guatemala, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,4, Laos, <=50K
30, Private, Some-college, Never-married, Sales, Wife, White, Male,7298,0,15, Germany, >50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Nicaragua, <=50K
25, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,54, Poland, <=50K
34, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, >50K
61, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Hong, <=50K
50, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Nicaragua, <=50K
25, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Hong, >50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
56, Local-gov, 9th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Cuba, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
42, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, India, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,43, Outlying-US(Guam-USVI-etc), <=50K
48, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
27, Private, 11th, Never-married, Transport-moving, Unmarried, White, Female,0,0,50, Jamaica, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
59, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
39, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, Ecuador, <=50K
32, Private, HS-grad, Never-married, Sales, Other-relative, White, Female,0,0,22, Canada, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Yugoslavia, >50K
56, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Thailand, >50K
51, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,54, Greece, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Philippines, <=50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Haiti, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, Scotland, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Iran, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, France, <=50K
37, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,1756,25, Italy, <=50K
44, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Japan, <=50K
33, Private, 5th-6th, Divorced, Adm-clerical, Wife, Black, Female,0,0,35, Columbia, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Japan, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, Ecuador, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Taiwan, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cuba, <=50K
18, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Germany, <=50K
56, Private, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, >50K
28, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Canada, <=50K
21, Private, Some-college, Never-married, Craft-repair, Wife, White, Female,0,0,35, Dominican-Republic, <=50K
64, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Honduras, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ireland, >50K
28, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, Trinadad&Tobago, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,80, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Columbia, <=50K
52, Private, HS-grad, Separated, Exec-managerial, Wife, Black, Female,0,0,40, China, <=50K
50, Private, Some-college, Separated, Other-service, Wife, White, Female,0,1448,4, Hungary, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,2610,0,30, Thailand, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,45, Guatemala, <=50K
41, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Guatemala, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,1990,54, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, Canada, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, >50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,20, Thailand, <=50K
70, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Thailand, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, South, >50K
