Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.78,0.23
moral,0.78,0.74,0.41,0.05
verw,0.89,0.77,0.45,0.0
sparkont,0.75,0.75,0.38,0.1
beszeit,0.95,0.93,0.79,0.18
rate,0.9,0.9,0.69,0.28
famges,0.8,0.79,0.5,0.14
buerge,0.28,0.35,0.11,0.03
wohnzeit,0.94,0.93,0.78,0.3
verm,0.99,0.99,0.97,0.67
weitkred,0.47,0.51,0.23,0.03
wohn,0.72,0.76,0.46,0.17
bishkred,0.66,0.58,0.33,0.01
beruf,0.71,0.68,0.38,0.01
pers,0.54,0.64,0.37,0.19
telef,0.96,0.97,0.93,0.67
gastarb,0.17,0.26,0.09,0.05
kredit,0.83,0.88,0.72,0.42
