Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.17
moral,0.79,0.75,0.42,0.08
verw,0.89,0.77,0.44,0.02
sparkont,0.7,0.69,0.31,0.07
beszeit,0.95,0.94,0.81,0.25
rate,0.91,0.91,0.71,0.31
famges,0.77,0.73,0.46,0.08
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.92,0.91,0.74,0.28
verm,0.98,0.98,0.94,0.56
weitkred,0.45,0.49,0.22,0.03
wohn,0.74,0.78,0.49,0.19
bishkred,0.65,0.57,0.32,0.01
beruf,0.74,0.71,0.41,0.02
pers,0.52,0.62,0.35,0.18
telef,0.94,0.96,0.89,0.62
gastarb,0.16,0.25,0.09,0.04
kredit,0.85,0.89,0.74,0.44
