Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.91,0.49
moral,0.76,0.72,0.38,0.07
verw,0.89,0.77,0.44,0.01
sparkont,0.91,0.9,0.66,0.24
beszeit,0.94,0.92,0.76,0.15
rate,0.92,0.92,0.73,0.31
famges,0.91,0.9,0.72,0.28
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.93,0.78,0.35
verm,1.0,1.0,0.99,0.78
weitkred,0.54,0.59,0.28,0.07
wohn,0.89,0.9,0.74,0.32
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.93,0.67
gastarb,0.72,0.79,0.57,0.31
kredit,0.79,0.84,0.65,0.37
