56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Japan, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Germany, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,14083,0,40, England, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, England, >50K
46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
25, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,7457,0,40, Yugoslavia, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
29, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
33, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Laos, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Poland, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,55, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Dominican-Republic, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,48, Taiwan, <=50K
30, Private, Doctorate, Divorced, Transport-moving, Own-child, Other, Female,0,0,45, Vietnam, <=50K
25, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,35, Columbia, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
49, Private, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,8614,0,40, Yugoslavia, >50K
25, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, El-Salvador, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, France, <=50K
