Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.2
moral,0.78,0.73,0.41,0.06
verw,0.9,0.79,0.47,0.01
sparkont,0.76,0.75,0.38,0.11
beszeit,0.95,0.93,0.81,0.17
rate,0.94,0.94,0.78,0.36
famges,0.78,0.77,0.47,0.11
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,0.98,0.98,0.94,0.54
weitkred,0.5,0.57,0.25,0.08
wohn,0.73,0.77,0.48,0.2
bishkred,0.65,0.58,0.32,0.01
beruf,0.7,0.68,0.37,0.02
pers,0.54,0.63,0.37,0.19
telef,0.97,0.98,0.95,0.72
gastarb,0.25,0.35,0.14,0.07
kredit,0.81,0.86,0.68,0.4
