29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
23, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,24, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
23, Private, 11th, Never-married, Sales, Not-in-family, Black, Female,4996,0,40, El-Salvador, >50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,40, Ecuador, <=50K
62, Self-emp-not-inc, Assoc-acdm, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
44, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
25, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Ireland, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
40, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,38, Cambodia, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Poland, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, >50K
20, Private, 9th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
44, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
37, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Jamaica, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,13623,0,43, El-Salvador, >50K
35, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
49, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,98, Cambodia, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
27, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,25, Yugoslavia, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,65, Thailand, <=50K
58, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,54, Puerto-Rico, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,27, El-Salvador, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Guatemala, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, Ecuador, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
28, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,48, Japan, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,15024,0,50, France, >50K
30, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Laos, <=50K
52, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,45, Poland, >50K
40, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
50, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,50, Mexico, >50K
56, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, Black, Male,0,0,80, Jamaica, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
35, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, Cuba, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Ecuador, <=50K
55, Self-emp-not-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,30, Cuba, <=50K
45, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Not-in-family, Other, Female,0,0,45, Jamaica, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,7298,0,52, Jamaica, >50K
54, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,15, South, >50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
36, Private, 12th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,60, Ecuador, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, >50K
32, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,25, Greece, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Philippines, <=50K
24, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
60, Private, 9th, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, Jamaica, <=50K
33, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
