Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.79,0.21
moral,0.81,0.78,0.46,0.09
verw,0.89,0.79,0.48,0.01
sparkont,0.75,0.75,0.38,0.1
beszeit,0.94,0.93,0.76,0.23
rate,0.91,0.91,0.71,0.28
famges,0.81,0.78,0.51,0.1
buerge,0.34,0.42,0.14,0.06
wohnzeit,0.93,0.93,0.78,0.33
verm,0.98,0.98,0.93,0.5
weitkred,0.48,0.54,0.24,0.06
wohn,0.73,0.76,0.47,0.17
bishkred,0.65,0.58,0.32,0.03
beruf,0.73,0.71,0.4,0.04
pers,0.63,0.71,0.46,0.24
telef,0.96,0.97,0.92,0.66
gastarb,0.25,0.36,0.14,0.07
kredit,0.86,0.9,0.76,0.46
