Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.79,0.74,0.42,0.08
verw,0.9,0.79,0.47,0.01
sparkont,1.0,1.0,1.0,0.86
beszeit,0.94,0.92,0.76,0.19
rate,0.9,0.91,0.7,0.3
famges,1.0,1.0,0.99,0.74
buerge,0.28,0.36,0.12,0.03
wohnzeit,0.91,0.9,0.72,0.29
verm,1.0,1.0,0.99,0.8
weitkred,0.49,0.53,0.24,0.04
wohn,1.0,1.0,1.0,0.88
bishkred,0.66,0.59,0.33,0.02
beruf,0.75,0.72,0.43,0.02
pers,0.53,0.63,0.36,0.19
telef,0.97,0.98,0.94,0.69
gastarb,1.0,1.0,0.99,0.89
kredit,0.85,0.89,0.73,0.44
