Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.8,0.23
moral,0.81,0.78,0.46,0.1
verw,0.9,0.78,0.49,0.0
sparkont,0.77,0.76,0.4,0.11
beszeit,0.95,0.93,0.79,0.2
rate,0.9,0.9,0.69,0.28
famges,0.81,0.79,0.52,0.12
buerge,0.32,0.41,0.14,0.07
wohnzeit,0.94,0.93,0.79,0.32
verm,0.98,0.98,0.92,0.48
weitkred,0.52,0.57,0.27,0.07
wohn,0.74,0.77,0.48,0.17
bishkred,0.67,0.61,0.34,0.03
beruf,0.73,0.72,0.4,0.05
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.72
gastarb,0.39,0.5,0.24,0.12
kredit,0.85,0.89,0.74,0.44
