Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.15
moral,0.78,0.74,0.42,0.08
verw,0.9,0.81,0.48,0.03
sparkont,0.73,0.72,0.35,0.07
beszeit,0.95,0.93,0.78,0.18
rate,0.9,0.9,0.69,0.28
famges,0.78,0.76,0.48,0.1
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.92,0.91,0.75,0.3
verm,0.97,0.97,0.9,0.44
weitkred,0.46,0.52,0.22,0.06
wohn,0.68,0.73,0.42,0.16
bishkred,0.65,0.57,0.32,0.01
beruf,0.71,0.7,0.38,0.04
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.14,0.23,0.08,0.04
kredit,0.84,0.88,0.72,0.42
