Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.81,0.78,0.46,0.1
verw,0.88,0.75,0.41,0.0
sparkont,1.0,1.0,0.99,0.8
beszeit,0.95,0.93,0.78,0.23
rate,0.92,0.92,0.73,0.31
famges,1.0,1.0,0.98,0.73
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.92,0.91,0.74,0.27
verm,1.0,1.0,0.99,0.83
weitkred,0.48,0.53,0.23,0.05
wohn,1.0,1.0,0.99,0.87
bishkred,0.67,0.6,0.34,0.03
beruf,0.72,0.68,0.39,0.01
pers,0.57,0.66,0.4,0.21
telef,0.96,0.97,0.92,0.66
gastarb,1.0,1.0,0.99,0.88
kredit,0.86,0.89,0.75,0.45
