Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.73
moral,0.8,0.75,0.45,0.07
verw,0.89,0.77,0.44,0.02
sparkont,1.0,0.99,0.98,0.7
beszeit,0.95,0.92,0.78,0.16
rate,0.89,0.9,0.68,0.28
famges,0.99,0.99,0.97,0.65
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.93,0.78,0.33
verm,1.0,1.0,1.0,0.86
weitkred,0.48,0.54,0.24,0.06
wohn,0.99,0.99,0.98,0.78
bishkred,0.66,0.58,0.32,0.01
beruf,0.68,0.66,0.34,0.02
pers,0.47,0.58,0.31,0.16
telef,0.97,0.98,0.94,0.7
gastarb,0.99,0.99,0.97,0.79
kredit,0.8,0.85,0.67,0.39
