Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.41
moral,0.78,0.74,0.42,0.06
verw,0.88,0.77,0.45,0.01
sparkont,0.97,0.97,0.86,0.45
beszeit,0.94,0.92,0.76,0.15
rate,0.93,0.92,0.76,0.3
famges,0.9,0.89,0.69,0.27
buerge,0.3,0.38,0.12,0.06
wohnzeit,0.94,0.93,0.79,0.32
verm,1.0,1.0,0.99,0.79
weitkred,0.5,0.56,0.25,0.07
wohn,0.73,0.77,0.48,0.18
bishkred,0.67,0.62,0.34,0.04
beruf,0.72,0.69,0.39,0.01
pers,0.63,0.71,0.46,0.24
telef,0.97,0.98,0.94,0.71
gastarb,0.27,0.38,0.16,0.08
kredit,0.83,0.87,0.71,0.42
