Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.73,0.18
moral,0.76,0.72,0.38,0.07
verw,0.89,0.77,0.44,0.01
sparkont,0.73,0.73,0.35,0.08
beszeit,0.94,0.92,0.76,0.15
rate,0.92,0.92,0.73,0.3
famges,0.8,0.78,0.5,0.1
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.93,0.78,0.35
verm,0.98,0.98,0.94,0.56
weitkred,0.54,0.59,0.28,0.07
wohn,0.74,0.77,0.48,0.18
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.93,0.68
gastarb,0.25,0.35,0.14,0.07
kredit,0.78,0.84,0.64,0.37
