Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.49,0.01
sparkont,0.72,0.71,0.34,0.07
beszeit,0.94,0.93,0.77,0.22
rate,0.92,0.92,0.73,0.31
famges,0.8,0.78,0.5,0.09
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.92,0.92,0.75,0.31
verm,0.98,0.98,0.93,0.51
weitkred,0.55,0.58,0.29,0.05
wohn,0.75,0.79,0.5,0.2
bishkred,0.64,0.57,0.31,0.03
beruf,0.81,0.84,0.59,0.26
pers,0.57,0.66,0.4,0.21
telef,0.97,0.98,0.94,0.71
gastarb,0.2,0.3,0.11,0.06
kredit,0.86,0.9,0.76,0.46
