laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
3 24 2 2 3056 4 5 4 3 1 3 3 32 3 2 1 3 2 2 2 1
3 5 2 3 3502 5 4 1 2 1 3 1 74 3 3 1 2 2 1 2 1
4 6 2 1 1351 3 3 1 1 2 2 2 36 3 1 1 4 1 2 2 1
1 9 1 6 661 5 3 4 2 1 3 1 28 3 3 1 2 2 1 1 0
2 12 2 6 1207 1 4 4 4 1 4 3 23 3 1 1 3 2 2 1 1
3 12 4 3 2340 2 5 4 4 1 4 2 49 3 2 1 4 2 2 1 1
2 6 0 2 4529 4 2 1 3 1 3 1 32 3 3 1 3 2 1 2 0
3 9 4 0 2133 5 3 4 1 1 3 2 48 3 1 2 3 2 2 2 1
2 24 3 0 3193 2 3 4 2 1 2 3 31 1 1 1 3 2 2 2 0
2 36 3 0 7417 3 3 2 4 2 2 4 54 3 3 1 3 2 1 1 1
1 15 4 3 1358 4 3 4 2 1 2 1 31 3 3 2 3 2 1 2 1
3 24 2 9 1472 3 4 4 2 1 3 3 33 1 1 1 3 2 2 2 1
4 30 0 2 4593 3 3 2 2 1 2 2 32 3 3 2 3 2 1 1 1
2 24 2 2 5551 4 3 4 4 1 1 4 25 3 1 1 2 2 1 2 1
2 6 4 0 1388 3 5 2 1 1 4 1 40 3 1 2 2 1 2 1 1
2 24 2 2 2393 2 1 4 4 1 1 4 33 1 1 1 3 2 1 1 0
3 12 4 0 751 5 5 4 2 1 4 1 38 3 1 1 3 2 1 2 1
4 48 2 10 7923 3 5 4 1 1 4 4 42 1 3 1 4 1 2 2 0
4 21 4 1 3348 3 5 2 1 1 4 2 36 3 3 1 4 2 2 2 1
4 18 4 0 1048 3 2 4 3 1 4 2 30 1 2 2 3 2 1 1 1
1 6 2 4 1199 1 1 3 2 1 2 4 42 3 2 1 4 2 2 2 1
4 20 4 0 3530 3 2 2 3 1 4 2 43 3 1 2 3 2 2 1 1
1 15 2 1 4600 2 3 3 4 1 2 4 30 3 2 1 3 2 2 1 1
2 6 2 2 1743 3 3 1 3 1 1 1 21 3 1 1 3 2 1 1 0
3 6 4 0 1047 1 1 2 1 1 4 4 49 3 2 4 2 2 1 2 1
2 18 4 0 1100 5 5 3 4 1 3 3 30 3 1 2 3 2 1 1 0
1 27 2 9 2634 1 3 3 1 1 4 3 21 3 3 1 3 2 2 2 0
2 12 2 3 623 1 5 4 4 1 4 2 57 3 3 4 3 2 1 1 1
2 18 1 3 1881 1 3 4 4 3 1 3 25 1 2 2 3 2 1 2 0
1 18 2 1 4216 5 4 4 3 1 3 2 33 1 2 1 4 1 2 1 1
4 18 4 2 6399 3 3 2 3 1 4 1 41 3 2 1 3 2 2 2 1
1 12 2 2 1076 5 2 2 2 1 4 1 19 3 1 1 2 2 1 1 0
2 15 2 3 1567 2 5 1 2 1 4 3 34 1 1 1 2 1 1 2 1
4 48 4 9 6597 4 3 4 4 1 4 4 37 3 2 1 3 1 2 2 1
2 27 2 0 2525 3 4 4 3 1 1 4 32 3 3 1 3 1 2 2 1
1 12 4 0 1255 4 5 4 1 1 4 4 61 3 3 2 3 2 1 1 1
1 24 0 3 3773 1 5 3 3 1 4 3 31 2 3 1 3 2 1 2 0
1 48 4 1 9042 2 4 2 2 1 1 1 35 3 1 2 3 2 2 1 1
3 18 2 5 3962 1 3 2 2 1 4 1 67 3 2 1 3 2 2 1 1
2 36 0 2 2645 2 3 3 4 1 3 4 27 3 3 2 3 2 1 1 1
4 24 4 1 2124 5 5 3 4 1 3 3 59 3 1 2 3 1 2 2 1
1 21 2 0 2999 1 3 4 3 1 1 1 28 1 3 1 4 2 2 2 1
1 30 4 0 2216 1 5 4 4 1 4 3 36 3 1 2 3 2 1 2 1
1 24 4 9 6313 1 2 4 2 1 2 1 27 1 1 2 4 2 2 2 1
4 24 4 2 3620 3 3 4 4 1 4 3 20 3 2 2 3 2 1 2 0
1 11 4 0 3846 3 3 2 1 1 3 1 36 3 2 2 3 1 1 2 1
2 6 2 3 583 1 3 3 1 1 1 2 29 3 2 1 3 2 1 2 1
4 18 2 3 1529 1 4 3 2 3 1 1 26 1 1 1 3 2 1 2 1
2 15 0 0 7010 1 1 1 1 1 2 4 34 2 3 1 4 1 2 2 0
1 24 0 0 1201 2 3 4 2 1 4 4 29 1 1 2 3 2 1 2 0
1 42 3 0 6200 2 4 2 3 1 1 3 41 1 2 2 2 2 1 2 1
1 15 2 6 396 1 2 4 2 1 1 4 23 3 3 1 3 2 2 1 1
3 11 4 0 1447 2 2 4 4 1 4 4 35 1 1 2 3 2 2 2 1
4 18 3 0 7096 1 3 1 3 1 4 1 68 3 1 2 3 2 1 2 0
3 6 4 0 1347 3 4 4 4 1 4 3 46 3 1 2 3 1 1 1 1
1 24 2 2 1947 2 2 4 3 1 3 4 32 3 2 1 2 2 1 2 0
1 24 4 3 2781 4 1 4 3 1 2 2 35 3 3 2 2 2 1 2 1
4 36 4 9 2830 3 3 2 4 1 2 3 26 3 3 2 3 2 1 2 1
1 30 2 3 2326 4 5 4 2 1 1 3 30 3 2 1 4 2 1 2 1
4 42 2 3 3969 4 2 4 3 1 3 4 34 1 2 1 3 2 1 2 0
1 6 1 0 354 1 3 4 1 1 4 2 52 3 2 2 2 2 1 2 1
1 12 2 4 1225 3 3 4 2 1 2 4 24 3 2 1 2 2 1 2 0
4 51 0 10 15942 2 5 2 2 1 4 2 56 3 1 1 3 2 2 1 0
4 30 2 2 3104 3 2 2 4 1 4 1 31 1 3 1 2 2 1 1 0
3 30 3 1 10774 1 5 2 1 1 4 2 38 3 3 2 4 1 2 1 1
3 9 2 2 1386 5 3 4 4 1 2 1 26 3 3 1 3 2 1 2 1
4 18 2 3 2482 1 3 4 1 1 4 2 65 3 3 1 3 2 1 1 0
1 27 2 9 3943 1 3 4 4 1 2 2 36 3 1 1 3 1 2 1 0
4 24 2 2 927 3 4 3 3 1 2 2 31 3 1 1 4 2 2 1 1
1 27 4 9 4597 2 3 1 1 1 3 1 32 2 2 2 3 2 2 1 1
4 36 2 9 3240 4 4 3 3 1 4 3 39 1 2 1 4 1 2 2 1
3 24 2 0 1440 5 4 4 1 3 4 3 23 3 2 1 3 2 1 1 0
2 48 4 1 13750 1 2 4 2 1 2 2 37 1 1 1 3 2 2 1 1
1 36 2 3 3834 2 3 4 4 3 1 4 42 3 2 1 3 2 2 1 0
4 18 1 0 2869 5 5 1 2 1 4 2 42 1 1 1 3 1 2 1 1
1 30 4 3 4603 1 1 4 3 1 4 4 26 3 1 1 3 2 2 1 1
3 18 2 3 1343 3 3 4 3 1 2 2 26 3 2 1 3 2 1 1 0
3 15 0 0 984 2 5 4 3 1 4 3 33 3 3 2 3 1 1 1 0
3 12 2 4 795 3 3 4 2 1 3 2 26 3 1 1 3 2 2 1 1
1 6 2 9 709 2 1 2 1 1 2 4 27 3 2 2 1 2 1 2 1
1 24 4 1 7540 3 5 2 2 1 4 1 29 3 3 1 3 2 1 2 1
3 12 4 2 5949 3 5 2 2 1 4 3 49 3 2 1 4 2 2 1 1
3 48 4 0 11988 5 1 4 3 1 4 2 36 3 2 1 3 2 2 1 1
1 15 2 2 1902 1 5 4 2 1 4 3 40 1 2 4 4 2 2 1 0
3 18 4 1 3620 1 4 2 2 1 4 1 27 3 1 2 3 1 1 2 1
1 24 2 1 2711 2 5 4 1 1 4 4 35 3 2 1 4 2 2 1 1
2 9 2 3 1157 2 5 2 3 1 4 1 48 3 2 1 2 2 1 2 1
1 18 2 2 1942 4 2 4 2 1 4 4 23 3 2 1 3 2 1 2 0
1 6 2 2 2106 5 3 2 2 1 2 4 41 3 1 1 3 2 2 2 1
3 18 2 2 2391 5 1 4 2 1 4 3 25 2 2 1 3 2 1 2 0
2 24 2 3 3195 1 2 4 3 1 1 2 22 1 1 1 3 2 1 2 1
1 24 3 0 717 4 5 4 1 1 4 3 53 3 3 2 3 2 2 2 0
3 18 4 3 1943 3 4 2 4 1 4 2 23 3 3 1 2 2 1 2 1
4 9 1 3 1319 3 5 4 3 1 2 3 34 3 1 2 4 2 2 1 0
1 36 2 0 9062 2 2 2 2 1 1 3 24 3 2 1 3 2 1 1 0
3 18 3 2 3370 2 1 2 1 1 4 2 38 3 3 4 4 2 2 2 1
3 36 2 1 5800 1 5 2 4 1 4 1 42 2 2 1 3 1 1 1 1
1 24 2 0 2299 1 2 4 1 1 1 3 54 3 1 1 3 2 1 2 1
3 15 4 2 1413 1 3 4 1 1 3 1 25 3 3 2 3 2 1 2 0
4 21 2 0 3929 1 4 2 3 1 3 4 35 3 2 1 3 2 1 1 1
2 30 2 2 3889 3 2 2 1 1 4 2 22 3 3 1 3 2 1 1 1
4 24 3 9 4601 3 3 4 1 1 3 4 54 3 3 1 4 2 2 2 0
4 48 4 9 2832 4 4 3 1 1 4 2 38 3 2 2 3 1 2 2 1
1 36 2 3 3594 2 5 4 3 1 2 4 28 1 2 1 3 2 1 2 1
3 36 1 0 2670 3 4 3 4 2 2 4 41 1 2 1 2 1 1 2 0
1 6 2 2 1243 2 3 2 3 2 4 4 51 3 1 1 2 2 1 2 1
2 12 2 2 1442 3 5 4 3 1 4 3 55 3 2 1 3 2 2 2 1
4 6 2 2 3500 1 3 1 1 1 3 4 26 3 1 1 3 1 1 2 1
2 18 2 1 2781 4 3 3 4 1 1 2 21 3 2 1 3 2 2 1 1
4 24 4 3 1841 4 5 3 1 1 2 1 48 3 1 2 2 2 1 1 0
2 27 4 9 2420 2 5 4 4 1 4 2 43 1 2 2 4 1 2 1 1
3 12 0 9 3594 5 3 2 3 1 2 3 29 2 3 1 2 1 1 1 1
1 36 3 9 9836 2 4 1 3 1 3 3 31 1 1 2 4 1 2 2 0
4 30 4 3 3755 1 5 4 3 1 4 1 49 2 2 2 2 2 1 1 1
