Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.79,0.2
moral,0.8,0.76,0.44,0.09
verw,0.88,0.77,0.46,0.0
sparkont,0.78,0.77,0.41,0.11
beszeit,0.96,0.95,0.82,0.24
rate,0.91,0.92,0.73,0.32
famges,0.81,0.79,0.51,0.11
buerge,0.28,0.36,0.12,0.04
wohnzeit,0.93,0.93,0.77,0.33
verm,0.98,0.97,0.91,0.46
weitkred,0.49,0.55,0.24,0.05
wohn,0.75,0.78,0.5,0.18
bishkred,0.67,0.59,0.33,0.03
beruf,0.72,0.7,0.4,0.02
pers,0.58,0.67,0.41,0.22
telef,0.97,0.98,0.94,0.71
gastarb,0.32,0.43,0.19,0.1
kredit,0.86,0.9,0.76,0.46
