,type,this_epoch,total_epochs,batch_num,loss
2,epoch,1,50,2,18274.78
5,epoch,2,50,2,17118.93
8,epoch,3,50,2,15856.583
11,epoch,4,50,2,15140.498
14,epoch,5,50,2,13384.24
17,epoch,6,50,2,11281.777
20,epoch,7,50,2,9118.002
23,epoch,8,50,2,7647.231
26,epoch,9,50,2,7098.4033
29,epoch,10,50,2,6479.2773
32,epoch,11,50,2,5778.0977
35,epoch,12,50,2,5208.6055
38,epoch,13,50,2,4591.804
41,epoch,14,50,2,4159.6177
44,epoch,15,50,2,3926.665
47,epoch,16,50,2,3728.2444
50,epoch,17,50,2,3519.1787
53,epoch,18,50,2,3232.8242
56,epoch,19,50,2,2939.224
59,epoch,20,50,2,2666.1392
62,epoch,21,50,2,2456.4658
65,epoch,22,50,2,2259.0159
68,epoch,23,50,2,2048.4216
71,epoch,24,50,2,1927.2848
74,epoch,25,50,2,1889.9661
77,epoch,26,50,2,1814.0259
80,epoch,27,50,2,1668.9113
83,epoch,28,50,2,1530.1318
86,epoch,29,50,2,1416.3317
89,epoch,30,50,2,1370.8943
92,epoch,31,50,2,1324.8702
95,epoch,32,50,2,1234.428
98,epoch,33,50,2,1195.8115
101,epoch,34,50,2,1172.7493
104,epoch,35,50,2,1111.4037
107,epoch,36,50,2,1026.0621
110,epoch,37,50,2,1000.0848
113,epoch,38,50,2,962.0325
116,epoch,39,50,2,945.6831
119,epoch,40,50,2,906.7064
122,epoch,41,50,2,892.05457
125,epoch,42,50,2,884.1447
128,epoch,43,50,2,895.0719
131,epoch,44,50,2,877.2231
134,epoch,45,50,2,856.82776
137,epoch,46,50,2,827.1249
140,epoch,47,50,2,897.66766
143,epoch,48,50,2,789.1526
146,epoch,49,50,2,799.4007
149,epoch,50,50,2,765.5366
