Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.82,0.32
moral,0.79,0.75,0.43,0.08
verw,0.91,0.81,0.52,0.0
sparkont,0.86,0.86,0.55,0.18
beszeit,0.94,0.92,0.76,0.16
rate,0.92,0.92,0.74,0.34
famges,0.87,0.86,0.62,0.2
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.32
verm,0.99,0.99,0.98,0.71
weitkred,0.49,0.54,0.25,0.05
wohn,0.85,0.87,0.65,0.28
bishkred,0.66,0.58,0.32,0.01
beruf,0.67,0.65,0.34,0.02
pers,0.51,0.61,0.34,0.17
telef,0.93,0.95,0.88,0.59
gastarb,0.54,0.64,0.37,0.19
kredit,0.79,0.84,0.65,0.37
