value,frequency,column
4,0.40125,laufkont
1,0.2475,laufkont
2,0.22375,laufkont
3,0.1275,laufkont
2,0.51,moral
4,0.30875,moral
3,0.09375,moral
0,0.04625,moral
1,0.04125,moral
0,0.2525,verw
3,0.25125,verw
2,0.19375,verw
1,0.12625,verw
9,0.09875,verw
6,0.05,verw
5,0.01875,verw
4,0.0075,verw
10,0.00125,verw
1,0.49625,sparkont
5,0.16875,sparkont
2,0.1375,sparkont
3,0.10875,sparkont
4,0.08875,sparkont
3,0.35,beszeit
5,0.24875,beszeit
4,0.18125,beszeit
2,0.16375,beszeit
1,0.05625,beszeit
4,0.45875,rate
2,0.215,rate
1,0.16875,rate
3,0.1575,rate
3,0.485,famges
2,0.29875,famges
4,0.11875,famges
1,0.0975,famges
1,0.8875,buerge
3,0.0625,buerge
2,0.05,buerge
4,0.4075,wohnzeit
2,0.31875,wohnzeit
3,0.14375,wohnzeit
1,0.13,wohnzeit
3,0.29875,verm
2,0.24625,verm
1,0.2425,verm
4,0.2125,verm
3,0.8025,weitkred
1,0.15875,weitkred
2,0.03875,weitkred
2,0.58875,wohn
1,0.24875,wohn
3,0.1625,wohn
1,0.63625,bishkred
2,0.32,bishkred
3,0.0375,bishkred
4,0.00625,bishkred
3,0.66375,beruf
2,0.18125,beruf
4,0.145,beruf
1,0.01,beruf
2,0.85125,pers
1,0.14875,pers
1,0.62875,telef
2,0.37125,telef
2,0.83875,gastarb
1,0.16125,gastarb
1,0.72875,kredit
0,0.27125,kredit
