Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.82
moral,0.8,0.77,0.45,0.11
verw,0.91,0.82,0.55,0.01
sparkont,1.0,1.0,0.99,0.75
beszeit,0.96,0.94,0.82,0.22
rate,0.93,0.93,0.76,0.33
famges,1.0,1.0,0.99,0.76
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.92,0.91,0.73,0.22
verm,1.0,1.0,0.99,0.8
weitkred,0.47,0.53,0.23,0.06
wohn,1.0,1.0,0.99,0.86
bishkred,0.68,0.61,0.34,0.02
beruf,0.65,0.64,0.32,0.02
pers,0.58,0.67,0.41,0.22
telef,0.97,0.98,0.94,0.7
gastarb,0.99,0.99,0.98,0.8
kredit,0.89,0.92,0.81,0.51
