36, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,10, United-States, >50K
58, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,54, Vietnam, <=50K
41, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, 12th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,30, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,45, United-States, >50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,12, United-States, >50K
27, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Greece, <=50K
60, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,38, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, >50K
37, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,44, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
64, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
38, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,1949,40, United-States, <=50K
28, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,35, Mexico, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
40, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,30, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,31, Germany, >50K
31, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,24, United-States, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Other-relative, Black, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
47, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Female,0,0,35, United-States, <=50K
26, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,99999,0,43, United-States, >50K
29, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,1977,45, United-States, >50K
51, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, United-States, <=50K
26, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
53, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
44, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
