Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.77,0.73,0.4,0.08
verw,0.9,0.8,0.47,0.03
sparkont,1.0,0.99,0.98,0.68
beszeit,0.95,0.93,0.79,0.18
rate,0.89,0.9,0.68,0.28
famges,0.99,0.99,0.96,0.64
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.93,0.78,0.35
verm,1.0,1.0,0.99,0.84
weitkred,0.51,0.56,0.26,0.05
wohn,0.99,0.99,0.98,0.77
bishkred,0.65,0.59,0.32,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.47,0.57,0.31,0.16
telef,0.96,0.97,0.92,0.67
gastarb,0.98,0.99,0.97,0.78
kredit,0.83,0.88,0.72,0.42
