Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.32
moral,0.78,0.75,0.42,0.08
verw,0.88,0.75,0.42,0.01
sparkont,0.79,0.78,0.42,0.1
beszeit,0.94,0.92,0.76,0.17
rate,0.91,0.91,0.72,0.31
famges,0.81,0.79,0.51,0.12
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,0.99,0.99,0.96,0.6
weitkred,0.47,0.52,0.23,0.04
wohn,0.72,0.76,0.47,0.18
bishkred,0.67,0.6,0.33,0.03
beruf,0.74,0.7,0.42,0.01
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.92,0.66
gastarb,0.24,0.34,0.14,0.07
kredit,0.85,0.89,0.73,0.44
