21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
36, Local-gov, Doctorate, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,35, Iran, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,45, England, <=50K
71, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
66, Private, Doctorate, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,12, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,35, El-Salvador, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Ecuador, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,15, Yugoslavia, <=50K
40, Private, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
23, Local-gov, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,4, South, <=50K
39, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
60, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Nicaragua, >50K
45, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
50, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,99, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,1740,30, Poland, <=50K
30, Private, Bachelors, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,54, Columbia, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Male,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,45, Jamaica, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
25, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, Trinadad&Tobago, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, China, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,3941,0,40, El-Salvador, <=50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Germany, <=50K
49, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Husband, Black, Female,0,0,99, Canada, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Canada, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
56, Private, Masters, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Thailand, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Puerto-Rico, >50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, El-Salvador, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
33, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, >50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,27, Nicaragua, <=50K
19, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,6066,0,40, Japan, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, France, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,54, Poland, >50K
46, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, England, >50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Hong, <=50K
19, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Mexico, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Honduras, <=50K
52, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,1569,40, Yugoslavia, <=50K
43, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Ecuador, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, Hungary, <=50K
64, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,854,0,60, Outlying-US(Guam-USVI-etc), <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
31, Self-emp-inc, 10th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,25, Jamaica, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, South, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, Taiwan, <=50K
37, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Ecuador, >50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Yugoslavia, >50K
60, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, Philippines, <=50K
56, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Female,0,0,40, Guatemala, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,2612,0,40, Portugal, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, Jamaica, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, >50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,25, France, <=50K
37, Private, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, Other, Female,0,0,38, Germany, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Jamaica, <=50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,45, Ecuador, <=50K
32, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,35, South, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Germany, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, South, >50K
17, Private, 10th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,10, Canada, <=50K
53, Private, Some-college, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
49, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, Ireland, >50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Trinadad&Tobago, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Columbia, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,80, China, >50K
32, Private, Some-college, Never-married, Machine-op-inspct, Wife, Black, Female,0,0,40, Hong, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Taiwan, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,10, Guatemala, <=50K
31, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,58, Greece, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
36, Private, Masters, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, England, <=50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,40, South, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,38, South, <=50K
26, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Taiwan, >50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Scotland, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,35, France, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,40, China, <=50K
