29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, United-States, >50K
23, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,43, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Protective-serv, Own-child, White, Female,0,0,30, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Vietnam, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, 12th, Never-married, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
63, Private, Some-college, Separated, Prof-specialty, Husband, White, Female,0,0,12, Germany, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,50, United-States, >50K
26, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
54, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
44, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,6153,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,36, United-States, <=50K
74, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,35, Mexico, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
53, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Germany, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,43, Haiti, >50K
38, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,1902,40, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5210,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1902,60, United-States, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,1876,40, United-States, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1887,15, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Male,0,0,45, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, United-States, >50K
27, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
27, Local-gov, 1st-4th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,45, United-States, <=50K
45, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, Assoc-voc, Widowed, Priv-house-serv, Wife, White, Male,0,0,45, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,8597,0,40, United-States, <=50K
23, Private, 9th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
