Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.79,0.22
moral,0.81,0.77,0.45,0.08
verw,0.89,0.78,0.46,0.01
sparkont,0.79,0.78,0.42,0.12
beszeit,0.95,0.93,0.79,0.19
rate,0.9,0.9,0.7,0.26
famges,0.84,0.83,0.57,0.15
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.94,0.94,0.8,0.35
verm,0.98,0.98,0.93,0.51
weitkred,0.54,0.58,0.28,0.06
wohn,0.71,0.75,0.45,0.17
bishkred,0.68,0.61,0.35,0.03
beruf,0.73,0.71,0.41,0.03
pers,0.57,0.67,0.4,0.21
telef,0.98,0.98,0.95,0.73
gastarb,0.24,0.34,0.14,0.07
kredit,0.87,0.9,0.77,0.47
