35, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
58, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, 1st-4th, Never-married, Other-service, Other-relative, Black, Male,0,0,30, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,7426,0,80, United-States, >50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,70, Vietnam, >50K
59, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,99999,0,40, United-States, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,44, Japan, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,50, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,99999,0,50, United-States, >50K
18, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, United-States, >50K
68, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2857,0,80, United-States, >50K
48, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Local-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, Jamaica, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,2276,40, United-States, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,15024,0,40, United-States, >50K
37, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, England, <=50K
53, State-gov, Some-college, Separated, Exec-managerial, Wife, White, Female,0,1990,57, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,54, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
48, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Puerto-Rico, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
63, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Vietnam, <=50K
47, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, White, Female,0,0,35, Thailand, <=50K
50, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,52, United-States, <=50K
64, Private, Masters, Divorced, Tech-support, Not-in-family, White, Female,7298,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Haiti, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
39, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,13744,0,50, United-States, >50K
42, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
31, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,38, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
33, Private, 7th-8th, Divorced, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
43, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Mexico, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, Thailand, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,35756,0,35, United-States, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,16, Portugal, <=50K
49, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, Mexico, <=50K
28, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
55, State-gov, Masters, Divorced, Craft-repair, Unmarried, White, Male,0,1759,50, United-States, <=50K
40, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15024,0,40, Mexico, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
44, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,47, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,84, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,3563,45, United-States, <=50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, >50K
41, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,82, United-States, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,50, United-States, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
40, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
54, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, United-States, <=50K
49, Private, Assoc-voc, Widowed, Machine-op-inspct, Unmarried, Black, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, Mexico, <=50K
19, Self-emp-not-inc, Masters, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3430,0,40, United-States, >50K
72, Private, Masters, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,15, United-States, <=50K
38, State-gov, Doctorate, Separated, Exec-managerial, Unmarried, White, Female,10578,0,50, United-States, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
54, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
58, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1735,40, United-States, >50K
39, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,55, United-States, <=50K
21, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,35, United-States, >50K
37, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Separated, Other-service, Unmarried, Black, Female,0,0,40, Iran, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1883,50, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,35, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,70, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
65, Self-emp-not-inc, Bachelors, Widowed, Other-service, Not-in-family, Black, Female,0,0,8, United-States, <=50K
59, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
44, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Separated, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,3356,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Masters, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
66, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,3298,40, United-States, >50K
63, Private, HS-grad, Separated, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,14440,0,20, United-States, >50K
24, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,3103,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,60, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
32, Private, HS-grad, Separated, Craft-repair, Wife, Black, Male,5543,0,40, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, 9th, Never-married, Adm-clerical, Wife, White, Male,2228,0,35, United-States, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States, <=50K
41, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
43, Private, Some-college, Separated, Transport-moving, Not-in-family, White, Female,0,0,25, United-States, <=50K
