35, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,4605,0,45, Jamaica, >50K
49, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Germany, <=50K
46, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
28, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
48, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
47, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Black, Female,0,0,60, El-Salvador, <=50K
27, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
58, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Japan, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
49, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, <=50K
19, Private, Prof-school, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,35,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Other-relative, Other, Female,0,0,25, Taiwan, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Wife, Other, Female,99999,0,40, Vietnam, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
37, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,69, Yugoslavia, >50K
38, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Nicaragua, >50K
45, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,70, Mexico, >50K
22, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, France, <=50K
56, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Ecuador, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
43, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
42, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Yugoslavia, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,20, United-States, <=50K
55, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,37, England, <=50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Holand-Netherlands, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Honduras, <=50K
26, State-gov, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,80, England, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,50, Ecuador, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Poland, >50K
41, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Male,7603,0,37, Outlying-US(Guam-USVI-etc), >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), >50K
52, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Greece, >50K
25, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Peru, <=50K
46, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Taiwan, >50K
66, Federal-gov, 1st-4th, Divorced, Other-service, Wife, Asian-Pac-Islander, Male,0,0,24, Germany, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,25, India, <=50K
39, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
20, Private, Assoc-voc, Separated, Other-service, Unmarried, Other, Male,0,0,50, Nicaragua, <=50K
47, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,75039,0,60, Hungary, >50K
52, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,37, Dominican-Republic, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
49, Self-emp-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
38, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Portugal, <=50K
27, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
29, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, Mexico, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
