Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.81,0.26
moral,0.79,0.75,0.42,0.08
verw,0.9,0.78,0.47,0.0
sparkont,0.73,0.73,0.36,0.08
beszeit,0.95,0.93,0.78,0.18
rate,0.92,0.92,0.73,0.34
famges,0.8,0.78,0.49,0.11
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.31
verm,0.99,0.99,0.96,0.64
weitkred,0.49,0.53,0.24,0.04
wohn,0.78,0.81,0.54,0.22
bishkred,0.64,0.57,0.31,0.01
beruf,0.7,0.69,0.37,0.03
pers,0.51,0.61,0.35,0.18
telef,0.94,0.96,0.9,0.62
gastarb,0.21,0.31,0.12,0.06
kredit,0.85,0.89,0.73,0.44
