28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,44, United-States, >50K
22, Private, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Prof-specialty, Husband, White, Female,3636,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
62, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Male,0,0,51, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,35, Germany, <=50K
35, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
20, Private, 9th, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,32, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,10, United-States, <=50K
32, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,8416,0,40, United-States, >50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, White, Female,0,0,96, Hong, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Greece, >50K
26, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,24, United-States, <=50K
46, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,51, United-States, <=50K
24, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,24, United-States, <=50K
27, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,70, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,48, United-States, >50K
30, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,44, United-States, >50K
41, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,44, United-States, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
50, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States, <=50K
59, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,80, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
56, Self-emp-not-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,25, United-States, <=50K
45, Self-emp-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,44, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,2174,0,50, United-States, >50K
53, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,14, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
34, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,32, United-States, >50K
31, Private, Some-college, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,23, United-States, <=50K
45, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
60, Private, 9th, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
32, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
19, Private, 10th, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, Taiwan, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,51, United-States, <=50K
49, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,25, Jamaica, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,45, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,10, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
