Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.81,0.78,0.46,0.11
verw,0.89,0.78,0.48,0.01
sparkont,0.99,0.99,0.98,0.68
beszeit,0.96,0.94,0.81,0.23
rate,0.91,0.91,0.72,0.33
famges,0.99,0.99,0.97,0.64
buerge,0.3,0.38,0.13,0.04
wohnzeit,0.91,0.9,0.73,0.24
verm,1.0,1.0,0.99,0.83
weitkred,0.53,0.56,0.28,0.04
wohn,0.99,0.99,0.98,0.76
bishkred,0.67,0.6,0.34,0.01
beruf,0.79,0.82,0.55,0.22
pers,0.62,0.7,0.44,0.23
telef,0.94,0.96,0.89,0.61
gastarb,0.99,0.99,0.98,0.82
kredit,0.86,0.9,0.76,0.46
