Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.8,0.76,0.44,0.07
verw,0.89,0.77,0.44,0.02
sparkont,1.0,1.0,1.0,0.87
beszeit,0.96,0.94,0.83,0.22
rate,0.91,0.92,0.72,0.34
famges,1.0,1.0,0.99,0.79
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.92,0.91,0.73,0.28
verm,1.0,1.0,0.99,0.79
weitkred,0.53,0.57,0.28,0.05
wohn,1.0,1.0,0.99,0.86
bishkred,0.65,0.58,0.32,0.01
beruf,0.72,0.7,0.39,0.02
pers,0.51,0.61,0.35,0.18
telef,0.97,0.98,0.93,0.69
gastarb,1.0,1.0,0.99,0.87
kredit,0.83,0.87,0.71,0.42
