Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.45
moral,0.79,0.76,0.43,0.06
verw,0.89,0.78,0.47,0.01
sparkont,0.9,0.89,0.63,0.24
beszeit,0.95,0.93,0.78,0.18
rate,0.91,0.91,0.72,0.3
famges,0.9,0.9,0.7,0.28
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.92,0.91,0.75,0.24
verm,1.0,1.0,0.99,0.79
weitkred,0.54,0.57,0.28,0.05
wohn,0.9,0.91,0.75,0.35
bishkred,0.67,0.61,0.34,0.03
beruf,0.7,0.67,0.37,0.01
pers,0.63,0.71,0.46,0.24
telef,0.96,0.97,0.92,0.67
gastarb,0.73,0.8,0.57,0.32
kredit,0.84,0.88,0.73,0.43
