Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.3
moral,0.79,0.75,0.43,0.06
verw,0.89,0.78,0.45,0.02
sparkont,0.75,0.75,0.37,0.1
beszeit,0.95,0.93,0.79,0.19
rate,0.88,0.88,0.65,0.25
famges,0.83,0.8,0.54,0.12
buerge,0.3,0.38,0.12,0.04
wohnzeit,0.92,0.91,0.75,0.27
verm,0.99,0.99,0.95,0.58
weitkred,0.51,0.56,0.26,0.06
wohn,0.72,0.77,0.47,0.19
bishkred,0.64,0.57,0.31,0.01
beruf,0.71,0.69,0.38,0.03
pers,0.48,0.58,0.32,0.16
telef,0.94,0.95,0.88,0.6
gastarb,0.19,0.28,0.1,0.05
kredit,0.86,0.89,0.75,0.45
