35, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,3325,0,45, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 12th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, 7th-8th, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Germany, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,2174,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,25, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,99999,0,40, United-States, >50K
51, Self-emp-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Poland, <=50K
38, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, United-States, >50K
37, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, <=50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, >50K
42, State-gov, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,0,30, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,20, United-States, <=50K
55, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Assoc-voc, Never-married, Adm-clerical, Wife, White, Female,7687,0,35, United-States, >50K
40, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
