Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.98,0.94,0.55
moral,0.82,0.79,0.47,0.09
verw,0.89,0.78,0.48,0.01
sparkont,0.95,0.95,0.79,0.38
beszeit,0.94,0.93,0.77,0.18
rate,0.91,0.91,0.72,0.32
famges,0.95,0.94,0.81,0.38
buerge,0.35,0.43,0.15,0.05
wohnzeit,0.94,0.93,0.79,0.33
verm,1.0,1.0,0.99,0.79
weitkred,0.51,0.56,0.26,0.06
wohn,0.96,0.97,0.9,0.52
bishkred,0.66,0.56,0.32,0.01
beruf,0.75,0.72,0.43,0.03
pers,0.64,0.72,0.47,0.25
telef,0.96,0.97,0.93,0.68
gastarb,0.85,0.89,0.74,0.44
kredit,0.85,0.89,0.74,0.44
