39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
69, Self-emp-inc, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,10, Vietnam, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,27, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,54, Haiti, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,20051,0,66, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,51, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, >50K
49, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,6, United-States, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Philippines, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Greece, >50K
50, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,37, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,44, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
40, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,3517,0,50, United-States, >50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,15, United-States, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,54, United-States, >50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,0,0,45, United-States, <=50K
35, Private, Assoc-voc, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Vietnam, <=50K
30, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, <=50K
