Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.9,0.87,0.69,0.11
moral,0.79,0.75,0.43,0.07
verw,0.9,0.79,0.47,0.01
sparkont,0.71,0.71,0.33,0.08
beszeit,0.95,0.93,0.8,0.19
rate,0.88,0.88,0.64,0.24
famges,0.77,0.75,0.46,0.09
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.91,0.91,0.72,0.29
verm,0.99,0.98,0.95,0.56
weitkred,0.48,0.53,0.24,0.04
wohn,0.72,0.76,0.46,0.19
bishkred,0.64,0.57,0.31,0.02
beruf,0.73,0.71,0.4,0.03
pers,0.47,0.58,0.31,0.16
telef,0.95,0.97,0.91,0.65
gastarb,0.16,0.25,0.09,0.04
kredit,0.79,0.84,0.65,0.37
