Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.78,0.2
moral,0.81,0.77,0.46,0.08
verw,0.9,0.81,0.54,0.02
sparkont,0.77,0.77,0.4,0.1
beszeit,0.94,0.92,0.76,0.14
rate,0.92,0.91,0.73,0.28
famges,0.78,0.76,0.48,0.1
buerge,0.32,0.4,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,0.99,0.99,0.95,0.59
weitkred,0.57,0.61,0.3,0.07
wohn,0.74,0.78,0.49,0.18
bishkred,0.67,0.59,0.33,0.02
beruf,0.74,0.71,0.41,0.02
pers,0.62,0.7,0.45,0.24
telef,0.95,0.96,0.9,0.63
gastarb,0.32,0.43,0.19,0.1
kredit,0.86,0.9,0.76,0.46
