Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.79,0.75,0.43,0.06
verw,0.91,0.84,0.56,0.03
sparkont,1.0,1.0,0.99,0.87
beszeit,0.95,0.93,0.79,0.18
rate,0.9,0.9,0.7,0.31
famges,1.0,1.0,0.98,0.76
buerge,0.3,0.38,0.13,0.04
wohnzeit,0.92,0.9,0.74,0.21
verm,0.99,0.99,0.98,0.73
weitkred,0.47,0.52,0.23,0.04
wohn,1.0,1.0,0.99,0.85
bishkred,0.66,0.58,0.33,0.03
beruf,0.74,0.71,0.42,0.02
pers,0.61,0.7,0.44,0.23
telef,0.95,0.96,0.9,0.63
gastarb,0.99,0.99,0.97,0.79
kredit,0.85,0.89,0.74,0.44
