Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.82,0.26
moral,0.75,0.71,0.38,0.05
verw,0.89,0.78,0.46,0.02
sparkont,0.78,0.77,0.41,0.11
beszeit,0.95,0.93,0.79,0.17
rate,0.87,0.87,0.63,0.25
famges,0.83,0.8,0.55,0.13
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.32
verm,0.98,0.98,0.94,0.57
weitkred,0.47,0.5,0.23,0.02
wohn,0.75,0.79,0.5,0.19
bishkred,0.65,0.57,0.32,0.01
beruf,0.73,0.71,0.41,0.02
pers,0.42,0.53,0.27,0.14
telef,0.93,0.95,0.87,0.58
gastarb,0.2,0.3,0.11,0.06
kredit,0.85,0.89,0.74,0.44
