19, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,74, Iran, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, Other, Male,4557,0,16, Ecuador, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
53, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, South, >50K
23, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,38, Scotland, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
26, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,47, Nicaragua, >50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Canada, <=50K
41, Self-emp-not-inc, Masters, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Cuba, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,2840,0,40, Portugal, >50K
48, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,45, Vietnam, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,48, Yugoslavia, >50K
31, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Jamaica, <=50K
30, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Germany, <=50K
42, Private, HS-grad, Widowed, Adm-clerical, Husband, Black, Female,0,0,45, Cambodia, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,32, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, El-Salvador, <=50K
71, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Guatemala, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,74, Guatemala, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,31, Ecuador, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,25, Dominican-Republic, <=50K
