47, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
66, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
23, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, 5th-6th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
56, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Married-spouse-absent, Handlers-cleaners, Husband, White, Male,11319,0,54, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,37, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,50, Germany, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,65, United-States, >50K
46, Private, Assoc-voc, Widowed, Machine-op-inspct, Husband, White, Male,0,0,2, United-States, <=50K
31, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
58, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Husband, White, Male,9563,0,50, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Husband, White, Female,0,0,45, Germany, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, >50K
55, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Other-relative, Black, Male,0,0,48, United-States, <=50K
22, Self-emp-inc, Some-college, Never-married, Sales, Husband, White, Male,0,0,97, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,30, United-States, >50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,37, United-States, >50K
38, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
44, Local-gov, Doctorate, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,60, United-States, >50K
60, Self-emp-not-inc, Assoc-acdm, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
48, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,7298,0,45, United-States, <=50K
36, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, 9th, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-inc, 11th, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
51, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
44, Private, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,50, Yugoslavia, >50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, United-States, >50K
42, Private, Preschool, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
53, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
40, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,48, United-States, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
34, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
