Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.76,0.21
moral,0.79,0.74,0.42,0.08
verw,0.9,0.79,0.47,0.02
sparkont,0.75,0.75,0.38,0.1
beszeit,0.93,0.91,0.73,0.15
rate,0.94,0.93,0.79,0.33
famges,0.83,0.8,0.54,0.12
buerge,0.26,0.34,0.11,0.03
wohnzeit,0.91,0.91,0.73,0.3
verm,0.99,0.99,0.95,0.62
weitkred,0.45,0.49,0.21,0.03
wohn,0.75,0.79,0.5,0.19
bishkred,0.66,0.57,0.33,0.01
beruf,0.76,0.73,0.44,0.03
pers,0.51,0.61,0.34,0.18
telef,0.93,0.95,0.87,0.58
gastarb,0.28,0.38,0.16,0.08
kredit,0.83,0.87,0.71,0.41
