Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.78,0.75,0.42,0.09
verw,0.9,0.8,0.47,0.04
sparkont,0.72,0.72,0.34,0.08
beszeit,0.94,0.92,0.76,0.16
rate,0.9,0.9,0.69,0.28
famges,0.77,0.74,0.46,0.09
buerge,0.26,0.34,0.1,0.05
wohnzeit,0.93,0.93,0.78,0.33
verm,0.98,0.97,0.91,0.47
weitkred,0.46,0.52,0.22,0.06
wohn,0.67,0.72,0.41,0.15
bishkred,0.64,0.55,0.31,0.01
beruf,0.73,0.71,0.4,0.03
pers,0.55,0.65,0.38,0.2
telef,0.96,0.97,0.92,0.66
gastarb,0.15,0.24,0.08,0.04
kredit,0.85,0.89,0.74,0.44
