Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.96,0.86,0.36
moral,0.78,0.73,0.42,0.07
verw,0.89,0.77,0.46,0.02
sparkont,0.85,0.84,0.53,0.16
beszeit,0.95,0.94,0.81,0.22
rate,0.91,0.92,0.72,0.34
famges,0.86,0.85,0.61,0.18
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,0.99,0.99,0.98,0.71
weitkred,0.46,0.5,0.22,0.03
wohn,0.84,0.86,0.64,0.26
bishkred,0.67,0.59,0.33,0.01
beruf,0.69,0.67,0.36,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.53,0.63,0.36,0.19
kredit,0.82,0.87,0.7,0.41
