Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.78,0.74,0.42,0.06
verw,0.9,0.78,0.5,0.01
sparkont,1.0,0.99,0.98,0.69
beszeit,0.95,0.93,0.78,0.18
rate,0.89,0.9,0.68,0.24
famges,0.99,0.99,0.97,0.66
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.93,0.92,0.77,0.29
verm,1.0,1.0,0.99,0.84
weitkred,0.55,0.59,0.29,0.05
wohn,0.99,1.0,0.98,0.77
bishkred,0.66,0.57,0.32,0.02
beruf,0.74,0.71,0.41,0.02
pers,0.56,0.65,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.99,0.99,0.97,0.79
kredit,0.82,0.87,0.7,0.41
