Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.3
moral,0.81,0.77,0.45,0.09
verw,0.9,0.79,0.49,0.02
sparkont,0.76,0.76,0.38,0.11
beszeit,0.95,0.93,0.78,0.2
rate,0.91,0.91,0.72,0.33
famges,0.81,0.79,0.52,0.1
buerge,0.34,0.42,0.15,0.06
wohnzeit,0.93,0.93,0.78,0.32
verm,0.99,0.99,0.95,0.61
weitkred,0.52,0.58,0.26,0.08
wohn,0.74,0.78,0.49,0.18
bishkred,0.69,0.63,0.35,0.04
beruf,0.71,0.69,0.38,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.94,0.7
gastarb,0.25,0.36,0.14,0.07
kredit,0.85,0.89,0.73,0.44
