19, Private, HS-grad, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,74, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,2589,0,20, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,1955,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,36, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
25, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,48, United-States, >50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Germany, <=50K
40, Self-emp-not-inc, Masters, Divorced, Sales, Not-in-family, Black, Male,0,0,30, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,3673,0,40, United-States, >50K
47, Private, Bachelors, Divorced, Transport-moving, Other-relative, White, Female,0,0,45, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, HS-grad, Widowed, Adm-clerical, Husband, White, Female,0,0,45, Greece, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Greece, >50K
46, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,32, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,45, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,12, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,74, United-States, >50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,32, United-States, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,27, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
52, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,50, United-States, >50K
56, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
28, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
21, Private, 11th, Separated, Other-service, Wife, White, Male,0,0,4, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
22, Private, 12th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1977,40, United-States, <=50K
63, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Italy, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, United-States, >50K
41, Private, HS-grad, Married-spouse-absent, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
27, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
27, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,44, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,30, United-States, <=50K
79, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
47, Local-gov, 5th-6th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, South, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1976,50, United-States, >50K
33, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,10, South, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
21, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,22, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,45, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
60, Federal-gov, 9th, Divorced, Sales, Husband, White, Male,15024,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,43, United-States, <=50K
67, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Self-emp-inc, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
57, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
82, Self-emp-inc, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
40, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,65, United-States, >50K
36, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,4393,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,80, United-States, <=50K
26, Private, Assoc-acdm, Separated, Prof-specialty, Not-in-family, White, Male,0,0,97, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
21, State-gov, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,6, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, >50K
56, State-gov, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Married-spouse-absent, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Black, Female,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,43, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,15024,0,50, United-States, >50K
41, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
60, Federal-gov, 9th, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
53, Local-gov, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1902,38, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
54, State-gov, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
48, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
60, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,30, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, >50K
34, Private, 9th, Married-civ-spouse, Tech-support, Wife, White, Male,2174,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, Masters, Never-married, Craft-repair, Other-relative, Black, Male,0,0,40, United-States, <=50K
83, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,33, United-States, >50K
44, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,7345,0,45, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,16, United-States, <=50K
64, Local-gov, 10th, Divorced, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,4427,0,45, United-States, >50K
39, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,1902,40, United-States, >50K
