Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.71,0.15
moral,0.79,0.75,0.43,0.08
verw,0.89,0.77,0.45,0.02
sparkont,0.71,0.71,0.33,0.07
beszeit,0.95,0.93,0.79,0.18
rate,0.91,0.91,0.72,0.3
famges,0.73,0.7,0.4,0.07
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.92,0.91,0.75,0.29
verm,0.97,0.97,0.9,0.48
weitkred,0.48,0.54,0.23,0.06
wohn,0.72,0.76,0.46,0.18
bishkred,0.66,0.58,0.33,0.01
beruf,0.75,0.71,0.42,0.02
pers,0.51,0.61,0.35,0.18
telef,0.98,0.98,0.96,0.75
gastarb,0.14,0.23,0.08,0.04
kredit,0.82,0.86,0.69,0.4
