Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.84
moral,0.77,0.72,0.4,0.07
verw,0.9,0.79,0.47,0.01
sparkont,1.0,1.0,0.99,0.83
beszeit,0.95,0.93,0.78,0.17
rate,0.91,0.91,0.71,0.32
famges,1.0,1.0,0.99,0.75
buerge,0.22,0.29,0.09,0.01
wohnzeit,0.91,0.9,0.73,0.28
verm,1.0,1.0,0.99,0.79
weitkred,0.46,0.49,0.22,0.03
wohn,1.0,1.0,0.99,0.83
bishkred,0.66,0.57,0.32,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.5,0.6,0.34,0.17
telef,0.95,0.97,0.91,0.64
gastarb,0.98,0.99,0.97,0.77
kredit,0.77,0.83,0.63,0.35
