Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.81,0.78,0.46,0.09
verw,0.9,0.79,0.5,0.02
sparkont,1.0,0.99,0.98,0.67
beszeit,0.95,0.94,0.8,0.23
rate,0.9,0.9,0.7,0.25
famges,0.99,0.99,0.97,0.67
buerge,0.28,0.36,0.12,0.03
wohnzeit,0.94,0.94,0.81,0.38
verm,1.0,1.0,0.99,0.81
weitkred,0.51,0.56,0.25,0.06
wohn,0.99,0.99,0.98,0.77
bishkred,0.66,0.6,0.33,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.55,0.64,0.38,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.99,0.99,0.97,0.79
kredit,0.86,0.9,0.76,0.46
