Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.8,0.77,0.45,0.08
verw,0.89,0.78,0.47,0.01
sparkont,0.99,0.99,0.97,0.67
beszeit,0.95,0.94,0.79,0.23
rate,0.91,0.91,0.71,0.29
famges,0.99,0.99,0.97,0.67
buerge,0.32,0.4,0.14,0.06
wohnzeit,0.94,0.93,0.79,0.34
verm,1.0,1.0,1.0,0.86
weitkred,0.52,0.57,0.27,0.05
wohn,1.0,1.0,0.99,0.82
bishkred,0.65,0.58,0.32,0.03
beruf,0.75,0.73,0.43,0.03
pers,0.6,0.69,0.43,0.22
telef,0.95,0.96,0.9,0.63
gastarb,0.99,0.99,0.97,0.79
kredit,0.85,0.89,0.74,0.44
