Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.59
moral,0.8,0.76,0.44,0.09
verw,0.89,0.76,0.44,0.01
sparkont,0.95,0.95,0.8,0.35
beszeit,0.94,0.92,0.77,0.16
rate,0.91,0.91,0.71,0.3
famges,0.93,0.92,0.76,0.34
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.92,0.91,0.75,0.3
verm,1.0,1.0,0.99,0.8
weitkred,0.47,0.52,0.23,0.04
wohn,0.89,0.91,0.73,0.35
bishkred,0.65,0.58,0.32,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.18,0.27,0.1,0.05
kredit,0.8,0.85,0.67,0.38
