Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.92,0.46
moral,0.8,0.78,0.45,0.1
verw,0.91,0.83,0.57,0.01
sparkont,0.97,0.97,0.88,0.49
beszeit,0.96,0.95,0.82,0.24
rate,0.9,0.9,0.7,0.27
famges,0.93,0.93,0.77,0.33
buerge,0.32,0.4,0.14,0.06
wohnzeit,0.92,0.92,0.75,0.31
verm,0.99,0.99,0.97,0.68
weitkred,0.5,0.56,0.25,0.07
wohn,0.7,0.74,0.44,0.16
bishkred,0.67,0.61,0.34,0.04
beruf,0.72,0.7,0.39,0.02
pers,0.65,0.73,0.48,0.26
telef,0.96,0.97,0.92,0.66
gastarb,0.29,0.4,0.17,0.09
kredit,0.87,0.9,0.76,0.47
