Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.78,0.74,0.42,0.06
verw,0.9,0.78,0.46,0.03
sparkont,0.73,0.72,0.35,0.07
beszeit,0.94,0.93,0.77,0.18
rate,0.92,0.92,0.74,0.29
famges,0.77,0.74,0.45,0.08
buerge,0.27,0.35,0.11,0.03
wohnzeit,0.94,0.93,0.79,0.37
verm,0.97,0.97,0.88,0.43
weitkred,0.49,0.52,0.24,0.03
wohn,0.71,0.75,0.45,0.15
bishkred,0.66,0.57,0.32,0.01
beruf,0.72,0.71,0.39,0.03
pers,0.51,0.61,0.35,0.18
telef,0.94,0.96,0.88,0.6
gastarb,0.17,0.26,0.09,0.05
kredit,0.83,0.88,0.71,0.42
