Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.17
moral,0.81,0.77,0.46,0.1
verw,0.88,0.74,0.42,0.0
sparkont,0.74,0.73,0.36,0.07
beszeit,0.95,0.93,0.78,0.23
rate,0.91,0.91,0.72,0.31
famges,0.78,0.75,0.46,0.1
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.96,0.96,0.85,0.4
verm,0.98,0.98,0.93,0.5
weitkred,0.53,0.57,0.27,0.05
wohn,0.73,0.77,0.48,0.19
bishkred,0.64,0.58,0.31,0.03
beruf,0.76,0.74,0.44,0.04
pers,0.57,0.66,0.4,0.21
telef,0.96,0.97,0.92,0.66
gastarb,0.22,0.32,0.12,0.06
kredit,0.83,0.87,0.71,0.42
