Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.86,0.33
moral,0.82,0.79,0.47,0.1
verw,0.89,0.76,0.44,0.0
sparkont,0.77,0.76,0.4,0.1
beszeit,0.94,0.92,0.75,0.2
rate,0.9,0.9,0.69,0.24
famges,0.81,0.79,0.52,0.13
buerge,0.28,0.36,0.12,0.05
wohnzeit,0.95,0.94,0.82,0.37
verm,0.98,0.98,0.93,0.52
weitkred,0.49,0.54,0.24,0.05
wohn,0.76,0.8,0.52,0.2
bishkred,0.66,0.59,0.33,0.03
beruf,0.73,0.73,0.41,0.05
pers,0.58,0.67,0.41,0.21
telef,0.95,0.96,0.91,0.64
gastarb,0.25,0.36,0.14,0.07
kredit,0.85,0.89,0.74,0.44
