Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.92,0.47
moral,0.8,0.77,0.44,0.09
verw,0.89,0.76,0.44,0.0
sparkont,0.97,0.96,0.85,0.42
beszeit,0.94,0.92,0.76,0.16
rate,0.89,0.89,0.66,0.24
famges,0.96,0.95,0.84,0.42
buerge,0.3,0.38,0.12,0.06
wohnzeit,0.94,0.94,0.8,0.34
verm,0.99,0.99,0.96,0.66
weitkred,0.56,0.6,0.3,0.07
wohn,0.72,0.76,0.47,0.17
bishkred,0.69,0.63,0.36,0.04
beruf,0.74,0.72,0.42,0.03
pers,0.63,0.71,0.46,0.24
telef,0.97,0.98,0.95,0.72
gastarb,0.29,0.39,0.17,0.08
kredit,0.89,0.92,0.8,0.5
